,deltaI score,deltaR score
Decision Tree spec points,0.9986964179046538,0.9994706930390616
Decision Tree peak info,0.9979011033926752,0.9978799518156808
Decision Tree spec points and peak info,0.998713806246204,0.9994579919118259
Random Forest spec points,0.9998643587750005,0.9999458169590829
Random Forest peak info,0.9985993268648452,0.9991835289832333
Random Forest spec points and peak info,0.9995038646015437,0.9999413847904899
AdaBoost spec points,0.9998828309495139,0.9999767274114091
AdaBoost peak info,0.9976430963870512,0.9992103093529897
AdaBoost spec points and peak info,0.9999021214380048,0.99997620312883
Gradient Boosting spec points,0.9979269333959698,0.9981661582146433
Gradient Boosting peak info,0.9955057154340796,0.9972696718045616
Gradient Boosting spec points and peak info,0.9981631133900555,0.9979115147244668
Independent Random Forests spec points,0.9999269529465786,0.9999810182608464
Independent Random Forests peak info,0.9978696875211784,0.9989937224366352
Independent Random Forests spec points and peak info,0.9999232759072869,0.9999807502633076
